csvid,text,label,text_length,cleaned_text,cleaned_word_count
1,"I feel sad and worthless lately, nothing seems enjoyable",Depression,55,i feel sad and worthless lately nothing seems enjoyable,9
2,I can't stop worrying about small things all the time,Anxiety,52,i cant stop worrying about small things all the time,10
3,I'm feeling optimistic and calm today,Normal,36,im feeling optimistic and calm today,6
4,My emotions swing from excitement to deep sadness quickly,Bipolar,57,my emotions swing from excitement to deep sadness quickly,9
5,I get distracted every few minutes while working,ADHD,48,i get distracted every few minutes while working,8
6,I wake up sweating from nightmares about past trauma,PTSD,52,i wake up sweating from nightmares about past trauma,9
7,I wash my hands over and over even when they're clean,OCD,52,i wash my hands over and over even when theyre clean,11
8,"I feel tired, hopeless, and don't want to do anything",Depression,50,i feel tired hopeless and dont want to do anything,10
9,I get panic attacks whenever I think about the future,Anxiety,53,i get panic attacks whenever i think about the future,10
10,"I'm focused, happy, and enjoying my day",Normal,36,im focused happy and enjoying my day,7
11,"One moment I'm full of energy, then I suddenly crash",Bipolar,50,one moment im full of energy then i suddenly crash,10
12,I can't finish any task without losing focus,ADHD,43,i cant finish any task without losing focus,8
13,Loud noises remind me of things I want to forget,PTSD,48,loud noises remind me of things i want to forget,10
14,I have to check the stove multiple times before leaving home,OCD,60,i have to check the stove multiple times before leaving home,11
15,I feel like crying without any reason,Depression,37,i feel like crying without any reason,7
16,I'm nervous before talking to anyone new,Anxiety,39,im nervous before talking to anyone new,7
17,Life feels balanced and peaceful today,Normal,38,life feels balanced and peaceful today,6
18,"Sometimes I talk too fast, then suddenly feel drained",Bipolar,52,sometimes i talk too fast then suddenly feel drained,9
19,I keep jumping between multiple unfinished tasks,ADHD,48,i keep jumping between multiple unfinished tasks,7
20,I get flashbacks from the accident whenever I hear sirens,PTSD,57,i get flashbacks from the accident whenever i hear sirens,10
21,I organize my desk again and again until it feels right,OCD,55,i organize my desk again and again until it feels right,11
22,I can't find joy even in things I used to love,Depression,45,i cant find joy even in things i used to love,11
23,My chest feels tight and I can't breathe when anxious,Anxiety,52,my chest feels tight and i cant breathe when anxious,10
24,I feel healthy and mentally clear today,Normal,39,i feel healthy and mentally clear today,7
25,"I make big plans one day, then lose all motivation the next",Bipolar,58,i make big plans one day then lose all motivation the next,12
26,I forget what I was doing within seconds,ADHD,40,i forget what i was doing within seconds,8
27,Certain smells trigger painful memories for me,PTSD,46,certain smells trigger painful memories for me,7
28,I count things repeatedly until it feels perfect,OCD,48,i count things repeatedly until it feels perfect,8
29,I feel empty and worthless most mornings,Depression,40,i feel empty and worthless most mornings,7
30,I overthink every decision I make,Anxiety,33,i overthink every decision i make,6
31,I'm grateful and content with my progress,Normal,40,im grateful and content with my progress,7
32,"I stay up all night with racing thoughts, then crash hard",Bipolar,56,i stay up all night with racing thoughts then crash hard,11
33,I can't focus in class or meetings at all,ADHD,40,i cant focus in class or meetings at all,9
34,I avoid places that remind me of what happened,PTSD,46,i avoid places that remind me of what happened,9
35,I need to check every lock in the house before sleeping,OCD,55,i need to check every lock in the house before sleeping,11
36,I feel like life has no meaning,Depression,31,i feel like life has no meaning,7
37,I constantly feel like something bad is about to happen,Anxiety,55,i constantly feel like something bad is about to happen,10
38,I feel calm and in control lately,Normal,33,i feel calm and in control lately,7
39,"I start many projects when I'm high, then lose interest fast",Bipolar,58,i start many projects when im high then lose interest fast,11
40,I'm easily distracted by any sound or movement,ADHD,45,im easily distracted by any sound or movement,8
41,I wake up scared from the same nightmare every night,PTSD,52,i wake up scared from the same nightmare every night,10
42,I keep cleaning the same spot repeatedly to feel calm,OCD,53,i keep cleaning the same spot repeatedly to feel calm,10
43,I feel hopeless even when everything is fine around me,Depression,54,i feel hopeless even when everything is fine around me,10
44,I can't stop my mind from running through all possibilities,Anxiety,58,i cant stop my mind from running through all possibilities,10
45,"I’m relaxed, positive, and looking forward to my day",Normal,49,im relaxed positive and looking forward to my day,9
46,"Sometimes I feel like I can do anything, then crash completely",Bipolar,61,sometimes i feel like i can do anything then crash completely,11
47,I lose focus and forget what I was supposed to do,ADHD,49,i lose focus and forget what i was supposed to do,11
48,I get triggered easily by things related to my past,PTSD,51,i get triggered easily by things related to my past,10
49,I have to align everything perfectly on my desk,OCD,47,i have to align everything perfectly on my desk,9
50,I'm exhausted emotionally and mentally every day,Depression,47,im exhausted emotionally and mentally every day,7
51,My hands shake when I'm nervous about small things,Anxiety,49,my hands shake when im nervous about small things,9
52,I feel emotionally stable and grateful,Normal,38,i feel emotionally stable and grateful,6
53,I make impulsive decisions when I'm overly energetic,Bipolar,51,i make impulsive decisions when im overly energetic,8
54,I start reading a book and switch to my phone instantly,ADHD,55,i start reading a book and switch to my phone instantly,11
55,I avoid people because they remind me of painful events,PTSD,55,i avoid people because they remind me of painful events,10
56,I repeat certain phrases in my mind to feel safe,OCD,48,i repeat certain phrases in my mind to feel safe,10
57,I feel like I’m drowning in sadness for no reason,Depression,48,i feel like im drowning in sadness for no reason,10
58,I constantly feel tense and on edge,Anxiety,35,i constantly feel tense and on edge,7
59,I feel mentally fresh and balanced today,Normal,40,i feel mentally fresh and balanced today,7
60,My moods jump from confidence to despair within hours,Bipolar,53,my moods jump from confidence to despair within hours,9
61,I get easily bored even with interesting work,ADHD,45,i get easily bored even with interesting work,8
62,I relive the accident scene in my head again and again,PTSD,54,i relive the accident scene in my head again and again,11
63,I must touch objects in a specific pattern to feel okay,OCD,55,i must touch objects in a specific pattern to feel okay,11
64,I don’t enjoy socializing or even talking anymore,Depression,48,i dont enjoy socializing or even talking anymore,8
65,I worry excessively about things that might never happen,Anxiety,56,i worry excessively about things that might never happen,9
66,I feel motivated and peaceful at the same time,Normal,46,i feel motivated and peaceful at the same time,9
67,"Sometimes I’m full of ideas and energy, then feel numb",Bipolar,52,sometimes im full of ideas and energy then feel numb,10
68,I can’t organize my thoughts long enough to complete tasks,ADHD,57,i cant organize my thoughts long enough to complete tasks,10
69,Certain sounds make me feel terrified for no reason,PTSD,51,certain sounds make me feel terrified for no reason,9
70,I keep rewriting words until they look perfect,OCD,46,i keep rewriting words until they look perfect,8
71,I feel worthless and isolated all the time,Depression,42,i feel worthless and isolated all the time,8
72,I get nervous stomachaches before every small event,Anxiety,51,i get nervous stomachaches before every small event,8
73,I’m enjoying my hobbies and feeling productive,Normal,45,im enjoying my hobbies and feeling productive,7
74,"I talk nonstop when I’m excited, then regret it later",Bipolar,51,i talk nonstop when im excited then regret it later,10
75,I jump between different apps and forget my main task,ADHD,53,i jump between different apps and forget my main task,10
76,I can't sleep because of recurring traumatic dreams,PTSD,50,i cant sleep because of recurring traumatic dreams,8
77,I keep counting my steps until I reach a specific number,OCD,56,i keep counting my steps until i reach a specific number,11
78,I have no energy or interest in doing anything,Depression,46,i have no energy or interest in doing anything,9
79,My heart races and I feel dizzy when anxious,Anxiety,44,my heart races and i feel dizzy when anxious,9
80,I feel strong and emotionally balanced,Normal,38,i feel strong and emotionally balanced,6
81,"I feel invincible one day, then too tired to get up the next",Bipolar,59,i feel invincible one day then too tired to get up the next,13
82,I can’t stay focused even for five minutes,ADHD,41,i cant stay focused even for five minutes,8
83,I get sudden images of my trauma during the day,PTSD,47,i get sudden images of my trauma during the day,10
84,I have to arrange my clothes in a specific order,OCD,48,i have to arrange my clothes in a specific order,10
85,I feel constantly sad for no reason,Depression,35,i feel constantly sad for no reason,7
86,I overanalyze every conversation and feel anxious,Anxiety,49,i overanalyze every conversation and feel anxious,7
87,I feel peaceful and thankful for my friends,Normal,43,i feel peaceful and thankful for my friends,8
88,Sometimes I spend money recklessly then regret it later,Bipolar,55,sometimes i spend money recklessly then regret it later,9
89,I’m easily distracted even during important work,ADHD,47,im easily distracted even during important work,7
90,I can’t stop thinking about what happened to me years ago,PTSD,56,i cant stop thinking about what happened to me years ago,11
91,I repeat certain actions until they feel 'just right',OCD,51,i repeat certain actions until they feel just right,9
92,I feel exhausted and empty every morning,Depression,40,i feel exhausted and empty every morning,7
93,I keep fearing something bad will happen to my family,Anxiety,53,i keep fearing something bad will happen to my family,10
94,I feel emotionally stable and ready to work hard,Normal,48,i feel emotionally stable and ready to work hard,9
95,My mood switches from excited to sad in minutes,Bipolar,47,my mood switches from excited to sad in minutes,9
96,I find it hard to pay attention during conversations,ADHD,52,i find it hard to pay attention during conversations,9
97,I get vivid flashbacks when I hear loud noises,PTSD,46,i get vivid flashbacks when i hear loud noises,9
98,I check all windows and doors repeatedly every night,OCD,52,i check all windows and doors repeatedly every night,9
99,I have lost interest in everything I once loved,Depression,47,i have lost interest in everything i once loved,9
100,I constantly think about possible future disasters,Anxiety,50,i constantly think about possible future disasters,7
101,Getting out of bed feels like an impossible task these days,Depression,59,getting out of bed feels like an impossible task these days,11
102,My mind races with 'what if' scenarios that I can't control,Anxiety,56,my mind races with what if scenarios that i cant control,11
103,I feel confident in my decisions and ready for the day,Normal,54,i feel confident in my decisions and ready for the day,11
104,"I went on a huge shopping spree yesterday, today I can't afford rent",Bipolar,66,i went on a huge shopping spree yesterday today i cant afford rent,13
105,I have a dozen tabs open and can't focus on any of them,ADHD,54,i have a dozen tabs open and cant focus on any of them,13
106,I'm hyper-vigilant and always scanning my surroundings for danger,PTSD,63,im hypervigilant and always scanning my surroundings for danger,9
107,"I have disturbing, intrusive thoughts that I can't get rid of",OCD,59,i have disturbing intrusive thoughts that i cant get rid of,11
108,The future feels bleak and I don't see the point in anything,Depression,59,the future feels bleak and i dont see the point in anything,12
109,"I feel a constant, nagging dread in the pit of my stomach",Anxiety,56,i feel a constant nagging dread in the pit of my stomach,12
110,I woke up feeling refreshed and genuinely happy this morning,Normal,60,i woke up feeling refreshed and genuinely happy this morning,10
111,My friends can't keep up with my rapid mood changes,Bipolar,50,my friends cant keep up with my rapid mood changes,10
112,I interrupt people mid-sentence without meaning to,ADHD,49,i interrupt people midsentence without meaning to,7
113,"I feel emotionally numb, like I'm just going through the motions",PTSD,62,i feel emotionally numb like im just going through the motions,11
114,I have to check that the door is locked exactly seven times,OCD,59,i have to check that the door is locked exactly seven times,12
115,"I feel disconnected from everyone, even my closest friends",Depression,57,i feel disconnected from everyone even my closest friends,9
116,I rehearse conversations in my head over and over before they happen,Anxiety,68,i rehearse conversations in my head over and over before they happen,12
117,I'm handling challenges with a surprisingly calm mindset,Normal,55,im handling challenges with a surprisingly calm mindset,8
118,"Last week I felt invincible, this week I feel like a complete failure",Bipolar,68,last week i felt invincible this week i feel like a complete failure,13
119,Sitting still through a whole movie feels like torture,ADHD,54,sitting still through a whole movie feels like torture,9
120,A car backfiring sent me into a full-blown panic attack,PTSD,54,a car backfiring sent me into a fullblown panic attack,10
121,I get intense anxiety if my books are not arranged by color,OCD,59,i get intense anxiety if my books are not arranged by color,12
122,Everything feels overwhelming and I have no energy to cope,Depression,58,everything feels overwhelming and i have no energy to cope,10
123,"I'm terrified of being judged, so I just stay quiet",Anxiety,49,im terrified of being judged so i just stay quiet,10
124,I feel hopeful and positive about what's coming next,Normal,51,i feel hopeful and positive about whats coming next,9
125,My speech gets rapid and pressured when I'm in a high state,Bipolar,58,my speech gets rapid and pressured when im in a high state,12
126,"I start cleaning one room, get distracted, and start on another",ADHD,61,i start cleaning one room get distracted and start on another,11
127,I avoid the part of town where the incident happened,PTSD,52,i avoid the part of town where the incident happened,10
128,"I'm afraid of contamination, so I avoid touching doorknobs",OCD,56,im afraid of contamination so i avoid touching doorknobs,9
129,I've lost my appetite and nothing tastes good anymore,Depression,52,ive lost my appetite and nothing tastes good anymore,9
130,My muscles are always tense from being constantly worried,Anxiety,57,my muscles are always tense from being constantly worried,9
131,I'm enjoying the simple things in life right now,Normal,47,im enjoying the simple things in life right now,9
132,I started five huge projects last week and have abandoned them all,Bipolar,66,i started five huge projects last week and have abandoned them all,12
133,I zone out during important meetings and miss key information,ADHD,61,i zone out during important meetings and miss key information,10
134,I have nightmares that feel so real I wake up screaming,PTSD,55,i have nightmares that feel so real i wake up screaming,11
135,I perform mental rituals to cancel out bad thoughts,OCD,51,i perform mental rituals to cancel out bad thoughts,9
136,I feel guilty for things that are completely out of my control,Depression,62,i feel guilty for things that are completely out of my control,12
137,I need constant reassurance from others to feel okay,Anxiety,52,i need constant reassurance from others to feel okay,9
138,"I feel grounded and stable, which is a wonderful feeling",Normal,55,i feel grounded and stable which is a wonderful feeling,10
139,"My self-esteem soars to the sky, then plummets to the ground",Bipolar,58,my selfesteem soars to the sky then plummets to the ground,11
140,Deadlines don't feel real until the panic of the last minute,ADHD,59,deadlines dont feel real until the panic of the last minute,11
141,"I feel detached from my own memories, like I'm watching a movie",PTSD,61,i feel detached from my own memories like im watching a movie,12
142,I spend hours each day on compulsions I know are irrational,OCD,59,i spend hours each day on compulsions i know are irrational,11
143,My mind feels foggy and I can't concentrate on simple tasks,Depression,58,my mind feels foggy and i cant concentrate on simple tasks,11
144,I get dizzy and lightheaded when my anxiety spikes,Anxiety,50,i get dizzy and lightheaded when my anxiety spikes,9
145,I feel a deep sense of purpose in my daily work,Normal,47,i feel a deep sense of purpose in my daily work,11
146,I talk over people with a flood of ideas when I'm manic,Bipolar,54,i talk over people with a flood of ideas when im manic,12
147,I'm so impulsive I make big decisions without thinking them through,ADHD,66,im so impulsive i make big decisions without thinking them through,11
148,I have outbursts of anger that seem to come from nowhere,PTSD,56,i have outbursts of anger that seem to come from nowhere,11
149,I have to tap the table three times before I can sit down,OCD,57,i have to tap the table three times before i can sit down,13
150,I pretend to be happy at work so nobody asks questions,Depression,54,i pretend to be happy at work so nobody asks questions,11
151,"I am constantly on edge, waiting for something terrible to happen",Anxiety,64,i am constantly on edge waiting for something terrible to happen,11
152,I feel good about the progress I've been making in my life,Normal,57,i feel good about the progress ive been making in my life,12
153,"After days of no sleep, I crashed and slept for 16 hours straight",Bipolar,61,after days of no sleep i crashed and slept for hours straight,12
154,I forget appointments and important dates constantly,ADHD,52,i forget appointments and important dates constantly,7
155,My negative view of the world started after the trauma,PTSD,54,my negative view of the world started after the trauma,10
156,I rewrite emails again and again to make them 'perfect',OCD,53,i rewrite emails again and again to make them perfect,10
157,I've started sleeping 12 hours a day but still feel exhausted,Depression,57,ive started sleeping hours a day but still feel exhausted,10
158,I avoid social events because my anxiety is too overwhelming,Anxiety,60,i avoid social events because my anxiety is too overwhelming,10
159,Woke up feeling optimistic and ready to tackle my to-do list,Normal,59,woke up feeling optimistic and ready to tackle my todo list,11
160,My thoughts race so fast I can't form a coherent sentence,Bipolar,56,my thoughts race so fast i cant form a coherent sentence,11
161,I can hyperfocus on a video game for 8 hours and forget to eat,ADHD,60,i can hyperfocus on a video game for hours and forget to eat,13
162,I feel intense shame and blame myself for what happened,PTSD,55,i feel intense shame and blame myself for what happened,10
163,I need to have all the labels on cans facing forward in the pantry,OCD,66,i need to have all the labels on cans facing forward in the pantry,14
164,I cry often but I can't explain why I'm so sad,Depression,44,i cry often but i cant explain why im so sad,11
165,I get heart palpitations when I have to speak in a group,Anxiety,56,i get heart palpitations when i have to speak in a group,12
166,I feel mentally sharp and clear today,Normal,37,i feel mentally sharp and clear today,7
167,I feel so irritable and agitated that everyone annoys me,Bipolar,56,i feel so irritable and agitated that everyone annoys me,10
168,I lose my phone and keys at least twice a day,ADHD,45,i lose my phone and keys at least twice a day,11
169,I can't form close relationships because I don't trust anyone,PTSD,59,i cant form close relationships because i dont trust anyone,10
170,I count the tiles on the floor when I walk,OCD,42,i count the tiles on the floor when i walk,10
171,Socializing feels draining; I prefer to be alone,Depression,47,socializing feels draining i prefer to be alone,8
172,"My mind is a browser with 100 tabs open, all playing audio",Anxiety,53,my mind is a browser with tabs open all playing audio,11
173,I feel proud of what I accomplished today,Normal,41,i feel proud of what i accomplished today,8
174,"I feel an intense, restless energy, like I need to keep moving",Bipolar,60,i feel an intense restless energy like i need to keep moving,12
175,I have to reread the same paragraph multiple times to understand it,ADHD,67,i have to reread the same paragraph multiple times to understand it,12
176,I have a strong physical reaction to smells that remind me of the trauma,PTSD,72,i have a strong physical reaction to smells that remind me of the trauma,14
177,"I have a specific, rigid routine I must follow every morning",OCD,59,i have a specific rigid routine i must follow every morning,11
178,I feel like a burden to the people who care about me,Depression,52,i feel like a burden to the people who care about me,12
179,I'm so scared of failure that I don't even start,Anxiety,46,im so scared of failure that i dont even start,10
180,I feel emotionally resilient and capable,Normal,40,i feel emotionally resilient and capable,6
181,"My confidence is through the roof, I feel like I can do anything",Bipolar,63,my confidence is through the roof i feel like i can do anything,13
182,I am chronically late because I get sidetracked while getting ready,ADHD,67,i am chronically late because i get sidetracked while getting ready,11
183,I flinch at loud noises and sudden movements,PTSD,44,i flinch at loud noises and sudden movements,8
184,I check the stove is off so many times it makes me late,OCD,55,i check the stove is off so many times it makes me late,13
185,Even my favorite hobbies don't bring me any joy anymore,Depression,54,even my favorite hobbies dont bring me any joy anymore,10
186,I get stuck in loops of negative thoughts I can't escape,Anxiety,55,i get stuck in loops of negative thoughts i cant escape,11
187,"I'm having a calm, productive, and enjoyable day",Normal,45,im having a calm productive and enjoyable day,8
188,"My moods are so extreme, there is no middle ground",Bipolar,49,my moods are so extreme there is no middle ground,10
189,My workspace is a chaotic mess of unfinished projects,ADHD,53,my workspace is a chaotic mess of unfinished projects,9
190,I avoid watching movies or shows with content related to my trauma,PTSD,66,i avoid watching movies or shows with content related to my trauma,12
191,I feel compelled to confess minor 'bad' thoughts to people,OCD,56,i feel compelled to confess minor bad thoughts to people,10
192,"I feel hollow inside, like something is missing",Depression,46,i feel hollow inside like something is missing,8
193,My hands tremble when I have to do something new,Anxiety,48,my hands tremble when i have to do something new,10
194,I feel content and at peace with myself right now,Normal,49,i feel content and at peace with myself right now,10
195,My spending gets out of control when I'm in a manic phase,Bipolar,56,my spending gets out of control when im in a manic phase,12
196,I have trouble following the plot of a TV show,ADHD,46,i have trouble following the plot of a tv show,10
197,I feel like I'm always looking over my shoulder,PTSD,46,i feel like im always looking over my shoulder,9
198,I have to step over cracks in the sidewalk,OCD,42,i have to step over cracks in the sidewalk,9
199,The world seems gray and uninteresting to me,Depression,44,the world seems gray and uninteresting to me,8
200,I'm constantly worried about my health and dying,Anxiety,47,im constantly worried about my health and dying,8
201,I'm feeling positive and it's making my work easier,Normal,49,im feeling positive and its making my work easier,9
202,I can go from euphoric to suicidal in the same day,Bipolar,50,i can go from euphoric to suicidal in the same day,11
203,"I fidget constantly, tapping my feet or clicking a pen",ADHD,53,i fidget constantly tapping my feet or clicking a pen,10
204,I feel alienated from others because they can't understand my past,PTSD,65,i feel alienated from others because they cant understand my past,11
205,I feel a sense of dread if things are not in their proper place,OCD,63,i feel a sense of dread if things are not in their proper place,14
206,I've been ignoring calls and texts from my friends for weeks,Depression,59,ive been ignoring calls and texts from my friends for weeks,11
207,"I'm afraid of making a mistake, so I double-check everything",Anxiety,57,im afraid of making a mistake so i doublecheck everything,10
208,I feel grateful for the good people in my life today,Normal,52,i feel grateful for the good people in my life today,11
209,I feel restless and can't sit still; I need to be doing something,Bipolar,63,i feel restless and cant sit still i need to be doing something,13
210,My mind drifts away when people are talking to me,ADHD,49,my mind drifts away when people are talking to me,10
211,I experience the traumatic event over and over in my mind,PTSD,57,i experience the traumatic event over and over in my mind,11
212,"I have a fear of losing things, so I hoard useless items",OCD,55,i have a fear of losing things so i hoard useless items,12
213,"I have trouble making simple decisions, like what to eat",Depression,55,i have trouble making simple decisions like what to eat,10
214,I feel a sense of impending doom for no apparent reason,Anxiety,55,i feel a sense of impending doom for no apparent reason,11
215,My energy levels are stable and I feel good,Normal,43,my energy levels are stable and i feel good,9
216,I get easily annoyed and snap at people during my highs,Bipolar,55,i get easily annoyed and snap at people during my highs,11
217,I struggle to organize my tasks and prioritize what's important,ADHD,62,i struggle to organize my tasks and prioritize whats important,10
218,I feel like a different person since the traumatic event,PTSD,56,i feel like a different person since the traumatic event,10
219,I ask for reassurance about my decisions constantly,OCD,51,i ask for reassurance about my decisions constantly,8
220,I have persistent thoughts that I am not good enough,Depression,52,i have persistent thoughts that i am not good enough,10
221,I feel sick to my stomach when I think about my to-do list,Anxiety,57,i feel sick to my stomach when i think about my todo list,13
222,I feel emotionally and physically healthy,Normal,41,i feel emotionally and physically healthy,6
223,"I make grand, unrealistic plans when I'm feeling up",Bipolar,49,i make grand unrealistic plans when im feeling up,9
