csvid,text,label,cleaned_text,text_length,cleaned_word_count,tokens,filtered_text,stopwords_removed,filtered_word_count,tokens_str
1,"I feel sad and worthless lately, nothing seems enjoyable",Depression,i feel sad and worthless lately nothing seems enjoyable,55,9,"['feel', 'sad', 'worthless', 'lately', 'nothing', 'seems', 'enjoyable']",feel sad worthless lately nothing seems enjoyable,2,7,feel sad worthless lately nothing seems enjoyable
2,I can't stop worrying about small things all the time,Anxiety,i cant stop worrying about small things all the time,52,10,"['cant', 'stop', 'worrying', 'small', 'things', 'time']",cant stop worrying small things time,4,6,cant stop worrying small things time
3,I'm feeling optimistic and calm today,Normal,im feeling optimistic and calm today,36,6,"['im', 'feeling', 'optimistic', 'calm', 'today']",im feeling optimistic calm today,1,5,im feeling optimistic calm today
4,My emotions swing from excitement to deep sadness quickly,Bipolar,my emotions swing from excitement to deep sadness quickly,57,9,"['emotions', 'swing', 'excitement', 'deep', 'sadness', 'quickly']",emotions swing excitement deep sadness quickly,3,6,emotions swing excitement deep sadness quickly
5,I get distracted every few minutes while working,ADHD,i get distracted every few minutes while working,48,8,"['get', 'distracted', 'every', 'minutes', 'working']",get distracted every minutes working,3,5,get distracted every minutes working
6,I wake up sweating from nightmares about past trauma,PTSD,i wake up sweating from nightmares about past trauma,52,9,"['wake', 'sweating', 'nightmares', 'past', 'trauma']",wake sweating nightmares past trauma,4,5,wake sweating nightmares past trauma
7,I wash my hands over and over even when they're clean,OCD,i wash my hands over and over even when theyre clean,52,11,"['wash', 'hands', 'even', 'theyre', 'clean']",wash hands even theyre clean,6,5,wash hands even theyre clean
8,"I feel tired, hopeless, and don't want to do anything",Depression,i feel tired hopeless and dont want to do anything,50,10,"['feel', 'tired', 'hopeless', 'dont', 'want', 'anything']",feel tired hopeless dont want anything,4,6,feel tired hopeless dont want anything
9,I get panic attacks whenever I think about the future,Anxiety,i get panic attacks whenever i think about the future,53,10,"['get', 'panic', 'attacks', 'whenever', 'think', 'future']",get panic attacks whenever think future,4,6,get panic attacks whenever think future
10,"I'm focused, happy, and enjoying my day",Normal,im focused happy and enjoying my day,36,7,"['im', 'focused', 'happy', 'enjoying', 'day']",im focused happy enjoying day,2,5,im focused happy enjoying day
11,"One moment I'm full of energy, then I suddenly crash",Bipolar,one moment im full of energy then i suddenly crash,50,10,"['one', 'moment', 'im', 'full', 'energy', 'suddenly', 'crash']",one moment im full energy suddenly crash,3,7,one moment im full energy suddenly crash
12,I can't finish any task without losing focus,ADHD,i cant finish any task without losing focus,43,8,"['cant', 'finish', 'task', 'without', 'losing', 'focus']",cant finish task without losing focus,2,6,cant finish task without losing focus
13,Loud noises remind me of things I want to forget,PTSD,loud noises remind me of things i want to forget,48,10,"['loud', 'noises', 'remind', 'things', 'want', 'forget']",loud noises remind things want forget,4,6,loud noises remind things want forget
14,I have to check the stove multiple times before leaving home,OCD,i have to check the stove multiple times before leaving home,60,11,"['check', 'stove', 'multiple', 'times', 'leaving', 'home']",check stove multiple times leaving home,5,6,check stove multiple times leaving home
15,I feel like crying without any reason,Depression,i feel like crying without any reason,37,7,"['feel', 'like', 'crying', 'without', 'reason']",feel like crying without reason,2,5,feel like crying without reason
16,I'm nervous before talking to anyone new,Anxiety,im nervous before talking to anyone new,39,7,"['im', 'nervous', 'talking', 'anyone', 'new']",im nervous talking anyone new,2,5,im nervous talking anyone new
17,Life feels balanced and peaceful today,Normal,life feels balanced and peaceful today,38,6,"['life', 'feels', 'balanced', 'peaceful', 'today']",life feels balanced peaceful today,1,5,life feels balanced peaceful today
18,"Sometimes I talk too fast, then suddenly feel drained",Bipolar,sometimes i talk too fast then suddenly feel drained,52,9,"['sometimes', 'talk', 'fast', 'suddenly', 'feel', 'drained']",sometimes talk fast suddenly feel drained,3,6,sometimes talk fast suddenly feel drained
19,I keep jumping between multiple unfinished tasks,ADHD,i keep jumping between multiple unfinished tasks,48,7,"['keep', 'jumping', 'multiple', 'unfinished', 'tasks']",keep jumping multiple unfinished tasks,2,5,keep jumping multiple unfinished tasks
20,I get flashbacks from the accident whenever I hear sirens,PTSD,i get flashbacks from the accident whenever i hear sirens,57,10,"['get', 'flashbacks', 'accident', 'whenever', 'hear', 'sirens']",get flashbacks accident whenever hear sirens,4,6,get flashbacks accident whenever hear sirens
21,I organize my desk again and again until it feels right,OCD,i organize my desk again and again until it feels right,55,11,"['organize', 'desk', 'feels', 'right']",organize desk feels right,7,4,organize desk feels right
