csvid,text,label
1,"I feel sad and worthless lately, nothing seems enjoyable",Depression
2,I can't stop worrying about small things all the time,Anxiety
3,I'm feeling optimistic and calm today,Normal
4,My emotions swing from excitement to deep sadness quickly,Bipolar
5,I get distracted every few minutes while working,ADHD
6,I wake up sweating from nightmares about past trauma,PTSD
7,I wash my hands over and over even when they're clean,OCD
8,"I feel tired, hopeless, and don't want to do anything",Depression
9,I get panic attacks whenever I think about the future,Anxiety
10,"I'm focused, happy, and enjoying my day",Normal
11,"One moment I'm full of energy, then I suddenly crash",Bipolar
12,I can't finish any task without losing focus,ADHD
13,Loud noises remind me of things I want to forget,PTSD
14,I have to check the stove multiple times before leaving home,OCD
15,I feel like crying without any reason,Depression
16,I'm nervous before talking to anyone new,Anxiety
17,Life feels balanced and peaceful today,Normal
18,"Sometimes I talk too fast, then suddenly feel drained",Bipolar
19,I keep jumping between multiple unfinished tasks,ADHD
20,I get flashbacks from the accident whenever I hear sirens,PTSD
21,I organize my desk again and again until it feels right,OCD
22,I can't find joy even in things I used to love,Depression
23,My chest feels tight and I can't breathe when anxious,Anxiety
24,I feel healthy and mentally clear today,Normal
25,"I make big plans one day, then lose all motivation the next",Bipolar
26,I forget what I was doing within seconds,ADHD
27,Certain smells trigger painful memories for me,PTSD
28,I count things repeatedly until it feels perfect,OCD
29,I feel empty and worthless most mornings,Depression
30,I overthink every decision I make,Anxiety
31,I'm grateful and content with my progress,Normal
32,"I stay up all night with racing thoughts, then crash hard",Bipolar
33,I can't focus in class or meetings at all,ADHD
34,I avoid places that remind me of what happened,PTSD
35,I need to check every lock in the house before sleeping,OCD
36,I feel like life has no meaning,Depression
37,I constantly feel like something bad is about to happen,Anxiety
38,I feel calm and in control lately,Normal
39,"I start many projects when I'm high, then lose interest fast",Bipolar
40,I'm easily distracted by any sound or movement,ADHD
41,I wake up scared from the same nightmare every night,PTSD
42,I keep cleaning the same spot repeatedly to feel calm,OCD
43,I feel hopeless even when everything is fine around me,Depression
44,I can't stop my mind from running through all possibilities,Anxiety
45,"I’m relaxed, positive, and looking forward to my day",Normal
46,"Sometimes I feel like I can do anything, then crash completely",Bipolar
47,I lose focus and forget what I was supposed to do,ADHD
48,I get triggered easily by things related to my past,PTSD
49,I have to align everything perfectly on my desk,OCD
50,I'm exhausted emotionally and mentally every day,Depression
51,My hands shake when I'm nervous about small things,Anxiety
52,I feel emotionally stable and grateful,Normal
53,I make impulsive decisions when I'm overly energetic,Bipolar
54,I start reading a book and switch to my phone instantly,ADHD
55,I avoid people because they remind me of painful events,PTSD
56,I repeat certain phrases in my mind to feel safe,OCD
57,I feel like I’m drowning in sadness for no reason,Depression
58,I constantly feel tense and on edge,Anxiety
59,I feel mentally fresh and balanced today,Normal
60,My moods jump from confidence to despair within hours,Bipolar
61,I get easily bored even with interesting work,ADHD
62,I relive the accident scene in my head again and again,PTSD
63,I must touch objects in a specific pattern to feel okay,OCD
64,I don’t enjoy socializing or even talking anymore,Depression
65,I worry excessively about things that might never happen,Anxiety
66,I feel motivated and peaceful at the same time,Normal
67,"Sometimes I’m full of ideas and energy, then feel numb",Bipolar
68,I can’t organize my thoughts long enough to complete tasks,ADHD
69,Certain sounds make me feel terrified for no reason,PTSD
70,I keep rewriting words until they look perfect,OCD
71,I feel worthless and isolated all the time,Depression
72,I get nervous stomachaches before every small event,Anxiety
73,I’m enjoying my hobbies and feeling productive,Normal
74,"I talk nonstop when I’m excited, then regret it later",Bipolar
75,I jump between different apps and forget my main task,ADHD
76,I can't sleep because of recurring traumatic dreams,PTSD
77,I keep counting my steps until I reach a specific number,OCD
78,I have no energy or interest in doing anything,Depression
79,My heart races and I feel dizzy when anxious,Anxiety
80,I feel strong and emotionally balanced,Normal
81,"I feel invincible one day, then too tired to get up the next",Bipolar
82,I can’t stay focused even for five minutes,ADHD
83,I get sudden images of my trauma during the day,PTSD
84,I have to arrange my clothes in a specific order,OCD
85,I feel constantly sad for no reason,Depression
86,I overanalyze every conversation and feel anxious,Anxiety
87,I feel peaceful and thankful for my friends,Normal
88,Sometimes I spend money recklessly then regret it later,Bipolar
89,I’m easily distracted even during important work,ADHD
90,I can’t stop thinking about what happened to me years ago,PTSD
91,I repeat certain actions until they feel 'just right',OCD
92,I feel exhausted and empty every morning,Depression
93,I keep fearing something bad will happen to my family,Anxiety
94,I feel emotionally stable and ready to work hard,Normal
95,My mood switches from excited to sad in minutes,Bipolar
96,I find it hard to pay attention during conversations,ADHD
97,I get vivid flashbacks when I hear loud noises,PTSD
98,I check all windows and doors repeatedly every night,OCD
99,I have lost interest in everything I once loved,Depression
100,I constantly think about possible future disasters,Anxiety
101,Getting out of bed feels like an impossible task these days,Depression
102,My mind races with 'what if' scenarios that I can't control,Anxiety
103,I feel confident in my decisions and ready for the day,Normal
104,"I went on a huge shopping spree yesterday, today I can't afford rent",Bipolar
105,I have a dozen tabs open and can't focus on any of them,ADHD
106,I'm hyper-vigilant and always scanning my surroundings for danger,PTSD
107,"I have disturbing, intrusive thoughts that I can't get rid of",OCD
108,The future feels bleak and I don't see the point in anything,Depression
109,"I feel a constant, nagging dread in the pit of my stomach",Anxiety
110,I woke up feeling refreshed and genuinely happy this morning,Normal
111,My friends can't keep up with my rapid mood changes,Bipolar
112,I interrupt people mid-sentence without meaning to,ADHD
113,"I feel emotionally numb, like I'm just going through the motions",PTSD
114,I have to check that the door is locked exactly seven times,OCD
115,"I feel disconnected from everyone, even my closest friends",Depression
116,I rehearse conversations in my head over and over before they happen,Anxiety
117,I'm handling challenges with a surprisingly calm mindset,Normal
118,"Last week I felt invincible, this week I feel like a complete failure",Bipolar
119,Sitting still through a whole movie feels like torture,ADHD
120,A car backfiring sent me into a full-blown panic attack,PTSD
121,I get intense anxiety if my books are not arranged by color,OCD
122,Everything feels overwhelming and I have no energy to cope,Depression
123,"I'm terrified of being judged, so I just stay quiet",Anxiety
124,I feel hopeful and positive about what's coming next,Normal
125,My speech gets rapid and pressured when I'm in a high state,Bipolar
126,"I start cleaning one room, get distracted, and start on another",ADHD
127,I avoid the part of town where the incident happened,PTSD
128,"I'm afraid of contamination, so I avoid touching doorknobs",OCD
129,I've lost my appetite and nothing tastes good anymore,Depression
130,My muscles are always tense from being constantly worried,Anxiety
131,I'm enjoying the simple things in life right now,Normal
132,I started five huge projects last week and have abandoned them all,Bipolar
133,I zone out during important meetings and miss key information,ADHD
134,I have nightmares that feel so real I wake up screaming,PTSD
135,I perform mental rituals to cancel out bad thoughts,OCD
136,I feel guilty for things that are completely out of my control,Depression
137,I need constant reassurance from others to feel okay,Anxiety
138,"I feel grounded and stable, which is a wonderful feeling",Normal
139,"My self-esteem soars to the sky, then plummets to the ground",Bipolar
140,Deadlines don't feel real until the panic of the last minute,ADHD
141,"I feel detached from my own memories, like I'm watching a movie",PTSD
142,I spend hours each day on compulsions I know are irrational,OCD
143,My mind feels foggy and I can't concentrate on simple tasks,Depression
144,I get dizzy and lightheaded when my anxiety spikes,Anxiety
145,I feel a deep sense of purpose in my daily work,Normal
146,I talk over people with a flood of ideas when I'm manic,Bipolar
147,I'm so impulsive I make big decisions without thinking them through,ADHD
148,I have outbursts of anger that seem to come from nowhere,PTSD
149,I have to tap the table three times before I can sit down,OCD
150,I pretend to be happy at work so nobody asks questions,Depression
151,"I am constantly on edge, waiting for something terrible to happen",Anxiety
152,I feel good about the progress I've been making in my life,Normal
153,"After days of no sleep, I crashed and slept for 16 hours straight",Bipolar
154,I forget appointments and important dates constantly,ADHD
155,My negative view of the world started after the trauma,PTSD
156,I rewrite emails again and again to make them 'perfect',OCD
157,I've started sleeping 12 hours a day but still feel exhausted,Depression
158,I avoid social events because my anxiety is too overwhelming,Anxiety
159,Woke up feeling optimistic and ready to tackle my to-do list,Normal
160,My thoughts race so fast I can't form a coherent sentence,Bipolar
161,I can hyperfocus on a video game for 8 hours and forget to eat,ADHD
162,I feel intense shame and blame myself for what happened,PTSD
163,I need to have all the labels on cans facing forward in the pantry,OCD
164,I cry often but I can't explain why I'm so sad,Depression
165,I get heart palpitations when I have to speak in a group,Anxiety
166,I feel mentally sharp and clear today,Normal
167,I feel so irritable and agitated that everyone annoys me,Bipolar
168,I lose my phone and keys at least twice a day,ADHD
169,I can't form close relationships because I don't trust anyone,PTSD
170,I count the tiles on the floor when I walk,OCD
171,Socializing feels draining; I prefer to be alone,Depression
172,"My mind is a browser with 100 tabs open, all playing audio",Anxiety
173,I feel proud of what I accomplished today,Normal
174,"I feel an intense, restless energy, like I need to keep moving",Bipolar
175,I have to reread the same paragraph multiple times to understand it,ADHD
